epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,476.893,0.7536,1.12275,1.09208,0.95824,0.67254,0.84852,0.6944,0.76601,2.47551,1.02999,0.000616379,0.000616379,0.000616379
43,487.9,0.66213,1.06328,1.05322,0.95824,0.67254,0.84852,0.6944,0.76601,2.47551,1.02999,0.000620713,0.000620713,0.000620713
44,499.269,0.67702,1.11438,0.99928,0.97014,0.76299,0.85909,0.70341,0.77966,2.40378,1.03097,0.000624551,0.000624551,0.000624551
45,510.631,0.73549,1.08229,1.02978,0.97014,0.76299,0.85909,0.70341,0.77966,2.40378,1.03097,0.000627895,0.000627895,0.000627895
46,522.254,0.6726,1.08935,0.99358,0.93339,0.72182,0.85875,0.7118,0.74879,2.40787,1.02658,0.000630744,0.000630744,0.000630744
47,533.798,0.7674,1.0921,1.01585,0.93339,0.72182,0.85875,0.7118,0.74879,2.40787,1.02658,0.000633098,0.000633098,0.000633098
48,544.813,0.64999,1.03804,0.95424,0.93969,0.73735,0.86435,0.72493,0.75188,2.3884,1.04061,0.000634956,0.000634956,0.000634956
49,555.951,0.71169,1.01303,1.07075,0.93969,0.73735,0.86435,0.72493,0.75188,2.3884,1.04061,0.00063632,0.00063632,0.00063632
50,567.1,0.64075,0.99717,0.99614,0.92518,0.73139,0.84477,0.69736,0.76995,2.36421,1.0515,0.000637189,0.000637189,0.000637189
51,578.152,0.69253,0.94048,1.00965,0.92518,0.73139,0.84477,0.69736,0.76995,2.36421,1.0515,0.00063125,0.00063125,0.00063125
52,589.469,0.6544,0.94599,0.99015,0.92952,0.74224,0.85199,0.69345,0.77078,2.27181,1.06611,0.000618875,0.000618875,0.000618875
53,601.258,0.76179,1.10764,1.05579,0.92952,0.74224,0.85199,0.69345,0.77078,2.27181,1.06611,0.0006065,0.0006065,0.0006065
